Sri Dalada Maligawa,Buddhist temple,Kandy
"Royal Botanic Gardens, Peradeniya",Botanical garden,Kandy
Udawatta Kele Sanctuary,National forest,Kandy
Gangarama Maha Vihara,Buddhist temple,Colombo
Galle Face Green,Park and Garden,Colombo
Independence Square,Historical landmark,Colombo
Nallur Kandaswamy Kovil,Hindu temple,Jaffna
Jaffna Public Library,Public library,Jaffna
Jaffna Market,Market,Jaffna
Muthiyangana Raja Maha Vihara,Buddhist temple,Badulla
Badulla Katharagama Devalaya,Buddhist temple,Badulla
Serendib Tours,Tour operator,Badulla
Thirukoneswaram Kovil Shaktipeeth,Hindu temple,Trincomalee
Fort Frederick,Fortress,Trincomalee
Shri Badrakali Amman Hindu Temple,Hindu temple,Trincomalee
Moon Plains,Tourist attraction,Nuwara Eliya
Queen Victoria Park,Park and Garden,Nuwara Eliya
Seetha Amman Kovil,Hindu temple,Nuwara Eliya
Gateway Of India Mumbai,Historical place,Mumbai
Chhatrapati Shivaji Maharaj Terminus,Train station,Mumbai
Shree Siddhivinayak Temple,Hindu temple,Mumbai
India Gate,Monument,New Delhi
Humayun’s Tomb,Historical landmark,New Delhi
Lotus Temple,Bahá'í house of worship,New Delhi
Sydney Opera House,Performing arts theatre,Sydney
Royal Botanic Garden Sydney,Botanical garden,Sydney
Sydney Harbour Bridge,Bridge,Sydney
National Gallery of Victoria,Art gallery,Melbourne
Royal Botanic Gardens Victoria - Melbourne Gardens,Botanical garden,Melbourne
Queen Victoria Market,Market,Melbourne
Central Park,Park and Garden,New York
The Metropolitan Museum of Art,Art museum,New York
Statue of Liberty,Historical landmark,New York
Universal Studios Hollywood,Theme park,Los Angeles
The Getty,Art museum,Los Angeles
Griffith Observatory,Observatory,Los Angeles
Cathedral of Brasília,Catholic cathedral,Brasilia
Memorial JK,History museum,Brasilia
Pontão do Lago Sul,Recreation Centre,Brasilia
Babur Garden,Garden,Kabul
DarulAman Palace,Faith school,Kabul
The National Museum of Afghanistan,Museum,Kabul
Louvre Museum,Art museum,Paris
Eiffel Tower,Historical landmark,Paris
Arc de Triomphe,Monument,Paris
The British Museum,Museum,London
lastminute.com London Eye,Ferris wheel,London
Tower of London,Castle,London
Marienplatz,Plaza,Munich
English Garden,Park and Garden,Munich
Nymphenburg Palace,Castle,Munich
Lalbagh Fort,Historical landmark,Dhaka
Central Shaheed Minar,Historical landmark,Dhaka
Bangladesh National Museum,National museum,Dhaka
Space Needle,Observation deck,Washington
Mount Rainier National Park,National park,Washington
Pike Place Market,Market,Washington
Dubai Mall,Shopping Centre,Dubai
Burj Al Arab,Hotel,Dubai
The Dubai Fountain,Fountain,Dubai
Rialto Bridge,Bridge,Venice
St. Mark's Square,Plaza,Venice
Doge's Palace,Museum,Venice
Colosseum,Historical landmark,Rome
Pantheon,Historical landmark,Rome
Trevi Fountain,Fountain,Rome
Cathedral of Santa Maria del Fiore,Cathedral,Florence
Uffizi Gallery,Art museum,Florence
Piazzale Michelangelo,Plaza,Florence
Manchester Museum,Archaeological museum,Manchester
Etihad Stadium,Stadium,Manchester
Science and Industry Museum,Science museum,Manchester
The Roman Baths,Museum,Bath
Bath Abbey,Abbey,Bath
Pulteney Bridge,Bridge,Bath
Santhome Cathedral Basilica,Catholic cathedral,Chennai
Kapaleeshwarar Temple,Hindu temple,Chennai
